timestamps,open,high,low,close,volume,amount
2026-03-09 10:30:00,8.843683,8.8709135,8.807924,8.834294,1.6579358e+07,1.461697e+08
2026-03-09 11:30:00,8.835074,8.859716,8.809858,8.83447,4.930216e+06,4.402992e+07
2026-03-09 14:00:00,8.826447,8.8486395,8.803601,8.824007,4.3883145e+06,3.9087956e+07
2026-03-09 15:00:00,8.821473,8.848086,8.802926,8.825512,6.0897605e+06,5.4074668e+07
2026-03-10 10:30:00,8.820657,8.838489,8.784238,8.801466,8.840408e+06,7.828225e+07
2026-03-10 11:30:00,8.803455,8.82851,8.784732,8.807487,3.7132635e+06,3.2963236e+07
2026-03-10 14:00:00,8.801405,8.824865,8.783543,8.803851,3.607765e+06,3.225004e+07
2026-03-10 15:00:00,8.8010025,8.821508,8.7794285,8.795581,5.240053e+06,4.651972e+07
2026-03-11 10:30:00,8.79486,8.816034,8.771269,8.789125,7.071984e+06,6.2604772e+07
2026-03-11 11:30:00,8.788027,8.80983,8.769417,8.788348,3.365814e+06,2.9690464e+07
2026-03-11 14:00:00,8.785238,8.806856,8.766975,8.785266,3.368386e+06,2.99123e+07
2026-03-11 15:00:00,8.782879,8.804206,8.763923,8.780886,4.3378495e+06,3.8351176e+07
2026-03-12 10:30:00,8.78013,8.801295,8.756951,8.774881,6.732259e+06,5.9400836e+07
2026-03-12 11:30:00,8.770968,8.79145,8.752215,8.769402,3.522397e+06,3.1008124e+07
2026-03-12 14:00:00,8.765732,8.786446,8.748232,8.765424,3.2048225e+06,2.8465876e+07
2026-03-12 15:00:00,8.761529,8.783695,8.743535,8.760749,4.482925e+06,3.9576004e+07
2026-03-13 10:30:00,8.759481,8.781533,8.739954,8.7577505,5.5193965e+06,4.8512736e+07
2026-03-13 11:30:00,8.756709,8.777198,8.739776,8.756752,2.961233e+06,2.6212764e+07
2026-03-13 14:00:00,8.752561,8.7736225,8.736362,8.754061,2.6735245e+06,2.3850268e+07
2026-03-13 15:00:00,8.750119,8.773001,8.733845,8.751828,3.939657e+06,3.474816e+07
