timestamps,open,high,low,close,volume,amount
2025-08-04,7.54359005,7.57356458,7.45366646,7.4936325,9746275,73345434.5
2025-08-05,7.54359005,7.63351364,7.4936325,7.63351364,12681896,96173002.6
2025-08-06,7.61353062,7.64350515,7.53359854,7.62352213,9858136,75031448.88
2025-08-07,7.65349666,7.6934627,7.58355609,7.63351364,12046082,92084363.3
2025-08-08,7.65349666,7.80336931,7.57356458,7.71344572,23932812,184686467.66
2025-08-11,7.72343723,8.12309763,7.67347968,8.12309763,49541036,397092502.65
2025-08-12,8.15307216,8.17305518,7.94325045,8.06314857,31551207,253698498.06
2025-08-13,8.07314008,8.23300424,7.97322498,8.23300424,33725584,273331683.56
2025-08-14,8.32292783,9.05230806,8.2929533,8.53274954,78234737,683294603.26
2025-08-15,8.3928684,9.20218071,8.24299575,8.95239296,61206084,542092805.25
2025-08-18,8.85247786,8.98236749,8.62267313,8.71259672,52285641,459203139.82
2025-08-19,8.51276652,8.55273256,8.06314857,8.23300424,61352479,505839577.19
2025-08-20,8.18304669,8.24299575,8.10311461,8.21302122,26679031,217712357.39
2025-08-21,8.18304669,8.21302122,8.05315706,8.0931231,21947292,178328421.04
2025-08-22,8.08313159,8.1930382,8.05315706,8.13308914,20108228,163549690.67
2025-08-25,8.17305518,8.50277501,8.07314008,8.48279199,41335725,345828439.8
2025-08-26,8.4927835,8.60269011,8.35290236,8.55273256,29072012,246415437.24
2025-08-27,8.54274105,8.54274105,8.15307216,8.16306367,27064546,226671338.86
2025-08-28,8.18304669,8.56272407,8.18304669,8.54274105,36616045,308859939.41
2025-08-29,8.54274105,8.7925288,8.3928684,8.44282595,28880261,246973820.68
2025-09-01,8.42284293,8.51276652,8.33291934,8.44282595,18682032,157655825.38
2025-09-02,8.44282595,8.56272407,8.22301273,8.26297877,18344350,153196130.77
2025-09-03,8.25298726,8.35290236,7.993208,8.01319102,16051319,130923820.81
2025-09-04,8.00319951,8.24299575,7.87330988,8.06314857,17551870,142412694.47
2025-09-05,8.06314857,8.47280048,8.06314857,8.44282595,23094443,192633830.99
2025-09-08,8.47280048,8.5926986,8.37288538,8.53274954,18516515,157843434.42
2025-09-09,8.48279199,8.74257125,8.35290236,8.3928684,24916835,212543420.51
2025-09-10,8.3928684,8.46280897,8.15307216,8.27297028,18836988,156124135.54
2025-09-11,8.23300424,8.51276652,8.18304669,8.4927835,20568722,172893265.7
2025-09-12,8.45281746,8.47280048,8.22301273,8.27297028,17173957,143011624.97
2025-09-15,8.27297028,8.27297028,8.10311461,8.18304669,14602916,119466602.24
2025-09-16,8.18304669,8.24299575,8.03317404,8.21302122,13502208,109798338.35
2025-09-17,8.17305518,8.2929533,8.0931231,8.11310612,11640724,95109140.68
2025-09-18,8.0931231,8.32292783,7.97322498,8.05315706,21533130,175904079.48
2025-09-19,8.05315706,8.07314008,7.7933778,7.87330988,14234928,112460032.39
2025-09-22,7.85332686,7.87330988,7.64350515,7.78338629,12232322,94595954.69
2025-09-23,7.7933778,7.81336082,7.47364948,7.60353911,12697612,96404461.0
2025-09-24,7.57356458,7.74342025,7.51361552,7.74342025,8072552,61912815.52
2025-09-25,7.72343723,7.83334384,7.63351364,7.64350515,10066339,77670195.98
2025-09-26,7.65349666,8.07314008,7.5935476,7.77339478,22054739,173428888.09
2025-09-29,7.71344572,7.91327592,7.57356458,7.88330139,15628058,122341420.76
2025-09-30,7.8932929,8.0931231,7.85332686,7.92326743,14567492,116350262.6
2025-10-09,7.88330139,8.03317404,7.82335233,7.90328441,11928936,94662557.72
2025-10-10,7.90328441,8.05315706,7.84333535,8.04316555,14376862,114907435.4
2025-10-13,7.85332686,8.14308065,7.54359005,8.13308914,15540744,123286506.44
2025-10-14,8.17305518,8.36289387,8.10311461,8.14308065,19444489,159922892.18
2025-10-15,8.14308065,8.17305518,7.90328441,7.98321649,14521720,116279800.44
2025-10-16,7.993208,7.993208,7.7933778,7.84333535,10139126,79965753.7
2025-10-17,7.7933778,7.90328441,7.68347119,7.71344572,10369832,80346989.2
2025-10-20,7.73342874,8.46280897,7.73342874,8.14308065,29649856,241070020.56
2025-10-21,8.11310612,8.18304669,8.04316555,8.14308065,15461104,125720137.54
2025-10-22,8.11310612,8.24299575,8.06314857,8.1930382,11449406,93716013.08
2025-10-23,8.20302971,8.23300424,8.06314857,8.17305518,10512952,85410476.28
2025-10-24,8.17305518,8.20302971,7.93325894,8.00319951,16002802,128597488.17
2025-10-27,7.97322498,8.14308065,7.97322498,8.06314857,13594680,109644357.0
2025-10-28,8.01319102,8.26297877,8.00319951,8.22301273,18463828,151355898.55
2025-10-29,8.36289387,8.44282595,8.27297028,8.3928684,24326184,203863652.76
2025-10-30,8.3928684,8.5926986,8.33291934,8.45281746,21841511,184802094.38
2025-10-31,8.46280897,8.65264766,8.41285142,8.54274105,20883166,178778276.25
2025-11-03,8.55273256,8.72258823,8.41285142,8.68262219,24047771,207054690.61
2025-11-04,8.71259672,8.71259672,8.43283444,8.44282595,19590088,166820362.8
2025-11-05,8.3928684,8.83249484,8.36289387,8.77254578,25696935,222464204.66
2025-11-06,8.76255427,8.78253729,8.56272407,8.62267313,14629361,126167446.43
2025-11-07,8.62267313,8.71259672,8.47280048,8.55273256,14287600,122913087.4
2025-11-10,8.50277501,8.5926986,8.43283444,8.46280897,15724068,133502556.74
2025-11-11,8.47280048,8.75256276,8.43283444,8.64265615,17206388,148559276.16
2025-11-12,8.65264766,8.67263068,8.47280048,8.51276652,11151265,95349863.74
2025-11-13,8.47280048,8.72258823,8.47280048,8.57271558,14357931,123406007.62
2025-11-14,8.50277501,8.60269011,8.38287689,8.41285142,12406287,105325746.49
2025-11-17,8.3928684,8.41285142,8.17305518,8.24299575,14400060,118954578.2
2025-11-18,8.22301273,8.35290236,8.05315706,8.08313159,13047318,105952815.4
2025-11-19,8.08313159,8.13308914,7.74342025,7.85332686,16296752,128596685.8
2025-11-20,7.85332686,8.55273256,7.85332686,8.36289387,53722176,445190128.59
2025-11-21,8.28296179,8.33291934,7.93325894,8.06314857,29305127,237922669.32
2025-11-24,8.11310612,8.15307216,7.8932929,7.98321649,17210854,137653396.79
2025-11-25,8.10311461,8.41285142,8.08313159,8.17305518,22342131,184432945.72
2025-11-26,8.1930382,8.1930382,7.90328441,7.96323347,16493476,132484596.63
2025-11-27,7.96323347,8.03317404,7.85332686,7.88330139,10686397,84947539.17
2025-11-28,7.88330139,8.01319102,7.78338629,7.98321649,10296462,81476693.86
2025-12-01,8.01319102,8.22301273,7.97322498,8.03317404,13219190,107066670.34
2025-12-02,8.02318253,8.02318253,7.86331837,7.90328441,9705276,76729685.4
2025-12-03,7.87330988,7.94325045,7.6934627,7.78338629,9140426,71436636.16
2025-12-04,7.77339478,7.84333535,7.68347119,7.80336931,7314180,56878143.8
2025-12-05,7.80336931,7.993208,7.76340327,7.90328441,10830043,85653782.69
2025-12-08,7.993208,8.24299575,7.993208,8.07314008,20998615,171138428.8
2025-12-09,8.06314857,8.07314008,7.85332686,7.90328441,13958160,110621493.2
2025-12-10,7.90328441,8.2929533,7.87330988,8.15307216,22869268,185817668.24
2025-12-11,8.18304669,8.6926137,8.15307216,8.40285991,43706825,366862767.13
2025-12-12,8.31293632,8.50277501,8.20302971,8.32292783,28980191,241931339.29
2025-12-15,8.31293632,8.5926986,8.25298726,8.50277501,31690066,269045867.71
2025-12-16,8.48279199,8.4927835,8.15307216,8.21302122,23995960,198487377.07
2025-12-17,8.15307216,8.35290236,8.11310612,8.34291085,21833060,179834939.17
2025-12-18,8.23300424,8.35290236,8.15307216,8.22301273,12571860,104000847.09
2025-12-19,8.22301273,8.40285991,8.22301273,8.36289387,14532506,120797742.56
2025-12-22,8.3928684,8.5926986,8.3928684,8.4927835,22261247,189887288.87
2025-12-23,8.4927835,9.34206185,8.38287689,9.34206185,35324374,321152532.51
